year;dow;date;days;dateEnd;woj;newc;newd
2020;36;2020-09-07;7;2020-09-13;dolnośląskie;183;3
2020;36;2020-09-07;7;2020-09-13;kujawsko-pomorskie;147;1
2020;36;2020-09-07;7;2020-09-13;lubelskie;140;5
2020;36;2020-09-07;7;2020-09-13;lubuskie;35;2
2020;36;2020-09-07;7;2020-09-13;mazowieckie;433;10
2020;36;2020-09-07;7;2020-09-13;małopolskie;626;8
2020;36;2020-09-07;7;2020-09-13;opolskie;83;2
2020;36;2020-09-07;7;2020-09-13;podkarpackie;196;8
2020;36;2020-09-07;7;2020-09-13;podlaskie;104;1
2020;36;2020-09-07;7;2020-09-13;pomorskie;289;1
2020;36;2020-09-07;7;2020-09-13;warmińsko-mazurskie;98;0
2020;36;2020-09-07;7;2020-09-13;wielkopolskie;336;9
2020;36;2020-09-07;7;2020-09-13;zachodniopomorskie;69;0
2020;36;2020-09-07;7;2020-09-13;łódzkie;128;6
2020;36;2020-09-07;7;2020-09-13;śląskie;361;11
2020;36;2020-09-07;7;2020-09-13;świętokrzyskie;100;1
2020;37;2020-09-14;7;2020-09-20;Polska;5088;105
2020;37;2020-09-14;7;2020-09-20;dolnośląskie;306;2
2020;37;2020-09-14;7;2020-09-20;kujawsko-pomorskie;199;4
2020;37;2020-09-14;7;2020-09-20;lubelskie;267;3
2020;37;2020-09-14;7;2020-09-20;lubuskie;51;0
2020;37;2020-09-14;7;2020-09-20;mazowieckie;737;9
2020;37;2020-09-14;7;2020-09-20;małopolskie;751;15
2020;37;2020-09-14;7;2020-09-20;opolskie;230;6
2020;37;2020-09-14;7;2020-09-20;podkarpackie;314;14
2020;37;2020-09-14;7;2020-09-20;podlaskie;129;6
2020;37;2020-09-14;7;2020-09-20;pomorskie;498;4
2020;37;2020-09-14;7;2020-09-20;warmińsko-mazurskie;136;1
2020;37;2020-09-14;7;2020-09-20;wielkopolskie;437;14
2020;37;2020-09-14;7;2020-09-20;zachodniopomorskie;149;2
2020;37;2020-09-14;7;2020-09-20;łódzkie;305;11
2020;37;2020-09-14;7;2020-09-20;śląskie;436;13
2020;37;2020-09-14;7;2020-09-20;świętokrzyskie;143;1
2020;38;2020-09-21;7;2020-09-27;Polska;8090;139
2020;38;2020-09-21;7;2020-09-27;dolnośląskie;324;3
2020;38;2020-09-21;7;2020-09-27;kujawsko-pomorskie;529;8
2020;38;2020-09-21;7;2020-09-27;lubelskie;369;4
2020;38;2020-09-21;7;2020-09-27;lubuskie;93;1
2020;38;2020-09-21;7;2020-09-27;mazowieckie;1175;10
2020;38;2020-09-21;7;2020-09-27;małopolskie;1165;17
2020;38;2020-09-21;7;2020-09-27;opolskie;227;7
2020;38;2020-09-21;7;2020-09-27;podkarpackie;371;14
2020;38;2020-09-21;7;2020-09-27;podlaskie;289;4
2020;38;2020-09-21;7;2020-09-27;pomorskie;900;13
2020;38;2020-09-21;7;2020-09-27;warmińsko-mazurskie;301;3
2020;38;2020-09-21;7;2020-09-27;wielkopolskie;601;18
2020;38;2020-09-21;7;2020-09-27;zachodniopomorskie;264;1
2020;38;2020-09-21;7;2020-09-27;łódzkie;580;19
2020;38;2020-09-21;7;2020-09-27;śląskie;669;16
2020;38;2020-09-21;7;2020-09-27;świętokrzyskie;233;1
2020;39;2020-09-28;7;2020-10-04;Polska;12744;198
2020;39;2020-09-28;7;2020-10-04;dolnośląskie;483;8
2020;39;2020-09-28;7;2020-10-04;kujawsko-pomorskie;1086;7
2020;39;2020-09-28;7;2020-10-04;lubelskie;611;12
