"","CodeM49","Area","Item","Element","YearCode","Unit","Value","X"
"249","854","Burkina Faso","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",81.61,NA
"250","156","China  mainland","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3344,NA
"251","408","Democratic People's Republic of Korea","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2118,NA
"252","242","Fiji","Population","TotalPop",2020,"1000 persons",896.45,NA
"253","308","Grenada","Population","TotalPop",2010,"1000 persons",106,NA
"254","158","China  Taiwan Province of","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2985,NA
"255","056","Belgium","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",104.79,NA
"256","132","Cabo Verde","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",71.48,NA
"257","320","Guatemala","Population","TotalPop",2010,"1000 persons",14630,NA
"258","180","Democratic Republic of the Congo","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2167,NA
"259","246","Finland","Population","TotalPop",2020,"1000 persons",5540.72,NA
"260","084","Belize","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",72.62,NA
"261","170","Colombia","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2960,NA
"262","116","Cambodia","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",62.27,NA
"263","204","Benin","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",66.27,NA
"264","250","France","Population","TotalPop",2020,"1000 persons",65273.51,NA
"265","174","Comoros","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2323,NA
"266","208","Denmark","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",3365,NA
"267","324","Guinea","Population","TotalPop",2010,"1000 persons",10192,NA
"268","258","French Polynesia","Population","TotalPop",2020,"1000 persons",280.91,NA
"269","624","Guinea-Bissau","Population","TotalPop",2010,"1000 persons",1523,NA
"270","262","Djibouti","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2462,NA
"271","120","Cameroon","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",71.95,NA
"272","178","Congo","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2220,NA
"273","124","Canada","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",102.11,NA
"274","068","Bolivia (Plurinational State of)","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",75.81,NA
"275","188","Costa Rica","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3032,NA
"276","212","Dominica","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2951,NA
"277","266","Gabon","Population","TotalPop",2020,"1000 persons",2225.73,NA
"278","328","Guyana","Population","TotalPop",2010,"1000 persons",749,NA
"279","070","Bosnia and Herzegovina","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",102.15,NA
"280","140","Central African Republic","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",51.78,NA
"281","332","Haiti","Population","TotalPop",2010,"1000 persons",9949,NA
"282","214","Dominican Republic","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2565,NA
"283","384","C\xF4te d'Ivoire","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2977,NA
"284","270","Gambia","Population","TotalPop",2020,"1000 persons",2416.67,NA
"285","268","Georgia","Population","TotalPop",2020,"1000 persons",3989.17,NA
"286","191","Croatia","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3161,NA
"287","218","Ecuador","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2611,NA
"288","340","Honduras","Population","TotalPop",2010,"1000 persons",8317,NA
"289","072","Botswana","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",72.63,NA
"290","148","Chad","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",75.91,NA
"291","076","Brazil","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",93.04,NA
"292","348","Hungary","Population","TotalPop",2010,"1000 persons",10015,NA
"293","818","Egypt","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",3487,NA
"294","192","Cuba","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3339,NA
"295","276","Germany","Population","TotalPop",2020,"1000 persons",83783.94,NA
"296","152","Chile","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",85.03,NA
"297","100","Bulgaria","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",78.75,NA
"298","288","Ghana","Population","TotalPop",2020,"1000 persons",31072.94,NA
"299","196","Cyprus","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3087,NA
"300","222","El Salvador","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2561,NA
"301","352","Iceland","Population","TotalPop",2010,"1000 persons",320,NA
"302","159","China","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",95.29,NA
"303","356","India","Population","TotalPop",2010,"1000 persons",1234281,NA
"304","233","Estonia","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",3305,NA
"305","203","Czechia","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3331,NA
"306","300","Greece","Population","TotalPop",2020,"1000 persons",10423.05,NA
"307","854","Burkina Faso","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",93.08,NA
"308","344","China  Hong Kong SAR","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",120.01,NA
"309","446","China  Macao SAR","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",94.31,NA
"310","408","Democratic People's Republic of Korea","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2077,NA
"311","360","Indonesia","Population","TotalPop",2010,"1000 persons",241834,NA
"312","748","Eswatini","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2229,NA
"313","308","Grenada","Population","TotalPop",2020,"1000 persons",112.52,NA
"314","364","Iran (Islamic Republic of)","Population","TotalPop",2010,"1000 persons",73763,NA
"315","132","Cabo Verde","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",70.71,NA
"316","320","Guatemala","Population","TotalPop",2020,"1000 persons",17915.57,NA
"317","231","Ethiopia","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2212,NA
"318","180","Democratic Republic of the Congo","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2069,NA
